cpu,bit_rate,real_rate,average
0.7299270073,1000000,1120603,36.761
0.7299270073,2000000,2179030,47.543
0.7299270073,3000000,3234462,54.269
0.7299270073,4000000,4292164,59.481
0.7299270073,5000000,5345508,63.69
0.7299270073,6000000,6416280,67.364
0.7299270073,7000000,7450564,70.392
0.7299270073,8000000,8500913,72.973
0.7299270073,9000000,9574862,75.231
0.7299270073,10000000,10665602,77.204
0.7299270073,11000000,11694984,78.821
0.7299270073,12000000,12731900,80.272
0.7299270073,13000000,13820462,81.63
0.7299270073,14000000,14893957,82.845
0.7299270073,15000000,15977345,83.927
0.8547008547,1000000,1126321,42.917
0.8547008547,2000000,2195822,55.792
0.8547008547,3000000,3270769,63.849
0.8547008547,4000000,4347713,69.521
0.8547008547,5000000,5426835,73.779
0.8547008547,6000000,6506683,76.982
0.8547008547,7000000,7590435,79.541
0.8547008547,8000000,8676909,81.662
0.8547008547,9000000,9763928,83.358
0.8547008547,10000000,10848496,84.863
0.8547008547,11000000,11931522,86.071
0.8547008547,12000000,13015364,87.137
0.8547008547,13000000,14102201,88.04
0.8547008547,14000000,15185317,88.865
0.8547008547,15000000,16267979,89.57
1.01010101,1000000,1116881,50.419
1.01010101,2000000,2178576,63.035
1.01010101,3000000,3247533,70.006
1.01010101,4000000,4321935,74.724
1.01010101,5000000,5401148,78.262
1.01010101,6000000,6477547,80.944
1.01010101,7000000,7559574,83.049
1.01010101,8000000,8643144,84.795
1.01010101,9000000,9726623,86.18
1.01010101,10000000,10808922,87.371
1.01010101,11000000,11891675,88.356
1.01010101,12000000,12969164,89.195
1.01010101,13000000,14049647,89.911
1.01010101,14000000,15126954,90.549
1.01010101,15000000,16208164,91.112
1.166861144,1000000,1112797,51.433
1.166861144,2000000,2163327,65.613
1.166861144,3000000,3227201,72.671
1.166861144,4000000,4296793,77.403
1.166861144,5000000,5368200,80.773
1.166861144,6000000,6442330,83.34
1.166861144,7000000,7515825,85.308
1.166861144,8000000,8595038,86.904
1.166861144,9000000,9677609,88.204
1.166861144,10000000,10759636,89.286
1.166861144,11000000,11842389,90.2
1.166861144,12000000,12926140,90.977
1.166861144,13000000,14012342,91.667
1.166861144,14000000,15095821,92.254
1.166861144,15000000,16179482,92.775
1.808318264,1000000,1107895,52.336
1.808318264,2000000,2158698,66.154
1.808318264,3000000,3219667,73.248
1.808318264,4000000,4284085,77.809
1.808318264,5000000,5351136,81.201
1.808318264,6000000,6426990,83.701
1.808318264,7000000,7503299,85.629
1.808318264,8000000,8577974,87.216
1.808318264,9000000,9659819,88.45
1.808318264,10000000,10739940,89.5
1.808318264,11000000,11821059,90.396
1.808318264,12000000,12904810,91.122
1.808318264,13000000,13985475,91.774
1.808318264,14000000,15069771,92.333
1.808318264,15000000,16154793,92.817
1.773049645,1000000,1129861,52.082
1.773049645,2000000,2177124,66.254
1.773049645,3000000,3234190,73.5
1.773049645,4000000,4297428,78.274
1.773049645,5000000,5362391,81.716
1.773049645,6000000,6434978,84.224
1.773049645,7000000,7507474,86.206
1.773049645,8000000,8583057,87.763
1.773049645,9000000,9666717,89.038
1.773049645,10000000,10744750,90.089
1.773049645,11000000,11828048,90.95
1.773049645,12000000,12907352,91.659
1.773049645,13000000,13988652,92.282
1.773049645,14000000,15072222,92.806
1.773049645,15000000,16154521,93.268
2.469135802,1000000,1119876,55.725
2.469135802,2000000,2175309,67.975
2.469135802,3000000,3236731,74.49
2.469135802,4000000,4299516,79.081
2.469135802,5000000,5366748,82.331
2.469135802,6000000,6438609,84.825
2.469135802,7000000,7514736,86.724
2.469135802,8000000,8591589,88.228
2.469135802,9000000,9672254,89.456
2.469135802,10000000,10753192,90.444
2.469135802,11000000,11830135,91.275
2.469135802,12000000,12916156,91.981
2.469135802,13000000,13999998,92.564
2.469135802,14000000,15088923,93.08
2.469135802,15000000,16174944,93.526
4.201680672,1000000,1122146,54.404
4.201680672,2000000,2172404,68.156
4.201680672,3000000,3231921,75.13
4.201680672,4000000,4299062,79.738
4.201680672,5000000,5371740,82.991
4.201680672,6000000,6449682,85.456
4.201680672,7000000,7531618,87.307
4.201680672,8000000,8615279,88.803
4.201680672,9000000,9703478,90.004
4.201680672,10000000,10793129,90.952
4.201680672,11000000,11883869,91.751
4.201680672,12000000,12973430,92.425
4.201680672,13000000,14069434,92.993
4.201680672,14000000,15165893,93.483
4.201680672,15000000,16260264,93.906
7.633587786,1000000,1120603,57.36
7.633587786,2000000,2173039,69.98
7.633587786,3000000,3236731,76.71
7.633587786,4000000,4307412,81.091
7.633587786,5000000,5384629,84.175
7.633587786,6000000,6464931,86.434
7.633587786,7000000,7553039,88.204
7.633587786,8000000,8637880,89.58
7.633587786,9000000,9730980,90.676
7.633587786,10000000,10825532,91.582
7.633587786,11000000,11922899,92.311
7.633587786,12000000,13022262,92.913
7.633587786,13000000,14123713,93.438
7.633587786,14000000,15224619,93.894
7.633587786,15000000,16328157,94.275
0.7299270073,16000000,16986305,84.781
0.7299270073,17000000,18035202,85.62
0.7299270073,18000000,19062224,86.334
0.7299270073,19000000,20144977,87.052
0.7299270073,20000000,21257048,87.746
0.8547008547,16000000,17350914,90.215
0.8547008547,17000000,18435845,90.776
0.8547008547,18000000,19522229,91.28
0.8547008547,19000000,20603257,91.742
0.8547008547,20000000,21687462,92.154
1.01010101,16000000,17288920,91.624
1.01010101,17000000,18371582,92.061
1.01010101,18000000,19454063,92.451
1.01010101,19000000,20535727,92.815
1.01010101,20000000,21620477,93.144
1.166861144,16000000,17263778,93.234
1.166861144,17000000,18346985,93.631
1.166861144,18000000,19432370,93.987
1.166861144,19000000,20520296,94.321
1.166861144,20000000,21610220,94.622
1.808318264,16000000,17240996,93.254
1.808318264,17000000,18327379,93.635
1.808318264,18000000,19414398,93.98
1.808318264,19000000,20501145,94.295
1.808318264,20000000,21587619,94.573
1.773049645,16000000,17240905,93.665
1.773049645,17000000,18324747,94.032
1.773049645,18000000,19408407,94.343
1.773049645,19000000,20496425,94.635
1.773049645,20000000,21579087,94.892
2.469135802,16000000,17259875,93.906
2.469135802,17000000,18350978,94.252
2.469135802,18000000,19441265,94.566
2.469135802,19000000,20526105,94.845
2.469135802,20000000,21614758,95.087
4.201680672,16000000,17359355,94.269
4.201680672,17000000,18452909,94.597
4.201680672,18000000,19550366,94.888
4.201680672,19000000,20644283,95.14
4.201680672,20000000,21740651,95.369
7.633587786,16000000,17429881,94.616
7.633587786,17000000,18530242,94.909
7.633587786,18000000,19631058,95.17
7.633587786,19000000,20731782,95.408
7.633587786,20000000,21825699,95.62